epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3151.03,0.48222,0.49173,1.0367,0.79883,0.69292,0.79649,0.67704,0.59419,0.85779,1.0692,0.004126,0.004126,0.004126
91,3185.99,0.48498,0.49359,1.03636,0.8178,0.74488,0.81102,0.68861,0.58845,0.84507,1.06895,0.00406,0.00406,0.00406
92,3220.52,0.48256,0.47042,1.0345,0.81824,0.7556,0.83091,0.71181,0.59098,0.70428,1.06514,0.003994,0.003994,0.003994
93,3258.25,0.47196,0.46552,1.02262,0.86387,0.68587,0.80244,0.6744,0.62754,0.84176,1.09952,0.003928,0.003928,0.003928
94,3292.8,0.47458,0.4899,1.04805,0.78511,0.69875,0.78647,0.67193,0.60977,0.8789,1.08454,0.003862,0.003862,0.003862
95,3338.08,0.45373,0.45467,1.0187,0.81535,0.69064,0.81353,0.70199,0.58881,0.77356,1.07661,0.003796,0.003796,0.003796
96,3372.08,0.46343,0.4695,1.02536,0.77212,0.76888,0.80339,0.68431,0.61329,0.77721,1.07978,0.00373,0.00373,0.00373
97,3405.59,0.45365,0.4448,1.02444,0.846,0.75264,0.83006,0.71517,0.58835,0.68663,1.07289,0.003664,0.003664,0.003664
98,3440.95,0.44315,0.44058,1.01523,0.83438,0.73162,0.82657,0.71496,0.58583,0.71171,1.06009,0.003598,0.003598,0.003598
99,3472.63,0.45325,0.45069,1.02448,0.82337,0.71607,0.79946,0.68544,0.59193,0.78127,1.07236,0.003532,0.003532,0.003532
100,3508.97,0.45916,0.45055,1.02401,0.86202,0.69446,0.82601,0.70467,0.586,0.74347,1.07118,0.003466,0.003466,0.003466
101,3543.76,0.45283,0.47053,1.03012,0.84341,0.68703,0.8071,0.69367,0.58648,0.72538,1.06888,0.0034,0.0034,0.0034
102,3577.06,0.44795,0.4372,1.02217,0.84053,0.75467,0.83003,0.70642,0.60296,0.67882,1.08461,0.003334,0.003334,0.003334
103,3610.24,0.45452,0.44499,1.03387,0.89211,0.68358,0.80908,0.69047,0.58265,0.75047,1.06009,0.003268,0.003268,0.003268
104,3643.28,0.44346,0.43227,1.02095,0.82835,0.69662,0.79873,0.69666,0.58362,0.84121,1.06292,0.003202,0.003202,0.003202
105,3687.65,0.44171,0.42598,1.02591,0.8451,0.7294,0.81935,0.70762,0.58412,0.75157,1.06806,0.003136,0.003136,0.003136
106,3719.07,0.4422,0.43567,1.01625,0.87038,0.71843,0.82273,0.70986,0.58039,0.71188,1.05966,0.00307,0.00307,0.00307
107,3752.4,0.43662,0.42492,1.01026,0.87538,0.71779,0.82165,0.70845,0.59895,0.74311,1.08014,0.003004,0.003004,0.003004
108,3786.76,0.44249,0.442,1.01236,0.85067,0.70696,0.81421,0.70052,0.58473,0.72963,1.06529,0.002938,0.002938,0.002938
109,3821.28,0.4486,0.43682,1.01087,0.802,0.75495,0.81268,0.70361,0.57176,0.72774,1.05575,0.002872,0.002872,0.002872
110,3857.49,0.43813,0.41939,1.0109,0.82494,0.70318,0.81986,0.70756,0.56418,0.74284,1.04679,0.002806,0.002806,0.002806
111,3890.69,0.42348,0.42927,1.00418,0.84137,0.71677,0.81369,0.70139,0.5857,0.73355,1.07107,0.00274,0.00274,0.00274
112,3923.91,0.41768,0.40365,0.99759,0.86275,0.70969,0.82504,0.72114,0.559,0.70515,1.05138,0.002674,0.002674,0.002674
113,3957.1,0.42381,0.40803,0.99392,0.87188,0.70543,0.82099,0.71289,0.56116,0.74027,1.04445,0.002608,0.002608,0.002608
114,3990.22,0.42584,0.41388,1.01078,0.88509,0.71852,0.83515,0.72963,0.54826,0.68693,1.03638,0.002542,0.002542,0.002542
115,4034.51,0.40498,0.39047,0.99805,0.8672,0.66914,0.81089,0.69883,0.57087,0.78975,1.05357,0.002476,0.002476,0.002476
116,4067.61,0.41552,0.43237,1.00899,0.87053,0.66241,0.81483,0.70566,0.56577,0.75367,1.0529,0.00241,0.00241,0.00241
117,4101.78,0.41076,0.40711,1.00539,0.86071,0.70318,0.81663,0.70135,0.5627,0.72702,1.05198,0.002344,0.002344,0.002344
118,4133.31,0.41023,0.40186,1.00645,0.80634,0.73661,0.80517,0.70187,0.54991,0.71612,1.03272,0.002278,0.002278,0.002278
119,4164.92,0.3997,0.40013,1.00407,0.76496,0.78056,0.82143,0.70722,0.55483,0.75472,1.03311,0.002212,0.002212,0.002212
120,4201.23,0.40515,0.39419,1.00425,0.80675,0.75064,0.81184,0.70302,0.57104,0.74609,1.05843,0.002146,0.002146,0.002146
121,4233.95,0.40213,0.39224,0.99143,0.83894,0.72757,0.81861,0.71379,0.56624,0.7291,1.04847,0.00208,0.00208,0.00208
122,4267.06,0.40547,0.38789,0.98751,0.80213,0.74393,0.82039,0.71091,0.56027,0.73439,1.04679,0.002014,0.002014,0.002014
123,4300.73,0.40162,0.39636,0.99739,0.80711,0.75835,0.80915,0.70141,0.56314,0.76335,1.04744,0.001948,0.001948,0.001948
124,4334.1,0.39348,0.39284,0.99167,0.89349,0.72153,0.83616,0.72418,0.53912,0.67166,1.0303,0.001882,0.001882,0.001882
125,4378.89,0.39155,0.40581,0.99528,0.87053,0.72958,0.83149,0.72554,0.55277,0.6929,1.03073,0.001816,0.001816,0.001816
126,4411.9,0.39753,0.37969,0.99059,0.87487,0.68746,0.81249,0.70703,0.55596,0.72222,1.03224,0.00175,0.00175,0.00175
127,4445.09,0.38739,0.37924,0.98931,0.84186,0.7107,0.80999,0.70647,0.54578,0.70656,1.03693,0.001684,0.001684,0.001684
